"week","Красноярск","Главная страница","Все выпускные", "Свадебные", "Love-story"
"2017-06-26",0.0,180,32,140,53
"2017-07-03",0.0,162,17,130,78
"2017-07-10",0.0,159,15,180,35
"2017-07-17",0.0,142,14,150,96
"2017-07-24",5.0,108,20,183,56
"2017-07-31",5.0,155,13,120,97
"2017-08-07",5.0,150,6,166,56
"2017-08-14",6.0,172,12,192,23
"2017-08-21",7.0,190,10,144,98
"2017-08-28",3.0,169,20,100,34
"2017-09-04",5.0,221,56,121,79
"2017-09-11",11.0,218,69,123,35
"2017-09-18",15.0,200,101,185,56
"2017-09-25",16.0,243,127,164,78
"2017-10-02",10.0,230,114,173,78
"2017-10-09",13.0,237,103,159,34
"2017-10-16",14.0,254,82,98,79
"2017-10-23",17.0,210,102,76,34
"2017-10-30",27.0,257,83,124,67
"2017-11-06",19.0,229,69,177,24
"2017-11-13",14.0,234,103,154,79
"2017-11-20",19.0,247,94,111,68
"2017-11-27",12.0,233,115,173,23
"2017-12-04",14.0,238,89,123,45
"2017-12-11",12.0,203,54,153,46
"2017-12-18",10.0,229,53,146,67
"2017-12-25",15.0,116,27,165,78
"2018-01-01",13.0,163,17,121,34
"2018-01-08",22.0,244,71,132,67
"2018-01-15",34.0,211,158,90,90
